idx,Cluster
13,7
24,7
31,7
44,7
67,7
73,7
74,7
79,7
81,7
98,7
104,7
108,7
117,7
124,7
327,7
337,7
339,7
340,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
470,7
512,7
536,7
690,7
695,7
696,7
697,7
698,7
699,7
816,7
860,7
866,7
869,7
876,7
886,7
1057,7
1064,7
1068,7
1070,7
1071,7
1072,7
1073,7
1074,7
1079,7
1080,7
1093,7
1094,7
1095,7
1096,7
35,8
71,8
123,8
150,8
151,8
155,8
169,8
172,8
173,8
181,8
185,8
402,8
403,8
404,8
405,8
407,8
408,8
409,8
414,8
415,8
417,8
418,8
424,8
523,8
653,8
655,8
661,8
668,8
670,8
672,8
682,8
683,8
684,8
685,8
686,8
688,8
692,8
693,8
694,8
700,8
701,8
702,8
703,8
704,8
705,8
706,8
707,8
709,8
710,8
775,8
794,8
811,8
847,8
904,8
905,8
907,8
917,8
1048,8
1049,8
1050,8
1052,8
1054,8
1055,8
1056,8
1058,8
1063,8
1065,8
1067,8
1103,8
119,9
572,9
574,9
575,9
576,9
577,9
578,9
579,9
580,9
582,9
583,9
585,9
586,9
588,9
589,9
590,9
591,9
592,9
593,9
594,9
595,9
596,9
597,9
598,9
599,9
601,9
377,10
716,10
727,10
742,10
747,10
751,10
753,10
760,10
767,10
772,10
1007,10
0,11
32,11
68,11
95,11
103,11
224,11
258,11
282,11
326,11
392,11
463,11
466,11
471,11
476,11
481,11
484,11
495,11
510,11
513,11
542,11
543,11
552,11
556,11
711,11
722,11
724,11
735,11
738,11
755,11
758,11
773,11
780,11
783,11
798,11
800,11
961,11
201,12
220,12
221,12
222,12
226,12
230,12
243,12
252,12
254,12
263,12
269,12
272,12
273,12
289,12
290,12
292,12
296,12
301,12
306,12
309,12
313,12
333,12
413,12
416,12
420,12
421,12
422,12
472,12
473,12
483,12
485,12
493,12
503,12
508,12
509,12
524,12
541,12
559,12
561,12
721,12
732,12
736,12
761,12
776,12
779,12
787,12
791,12
793,12
795,12
799,12
801,12
805,12
810,12
812,12
813,12
861,12
877,12
915,12
1017,12
193,13
199,13
200,13
204,13
210,13
211,13
213,13
217,13
225,13
227,13
228,13
235,13
238,13
239,13
242,13
260,13
264,13
277,13
284,13
285,13
286,13
287,13
288,13
294,13
295,13
298,13
304,13
307,13
310,13
374,13
393,13
398,13
469,13
545,13
723,13
734,13
737,13
739,13
752,13
769,13
771,13
774,13
853,13
855,13
890,13
912,13
913,13
602,14
604,14
606,14
608,14
609,14
610,14
611,14
612,14
613,14
614,14
617,14
619,14
623,14
624,14
625,14
626,14
627,14
629,14
631,14
632,14
636,14
815,14
822,14
825,14
827,14
888,14
1001,14
1004,14
1006,14
1008,14
1009,14
1011,14
1012,14
1014,14
1018,14
1019,14
1021,14
1022,14
1023,14
1027,14
1028,14
1029,14
1031,14
1032,14
1035,14
1037,14
1038,14
1039,14
1040,14
